選手名,チーム,出身地,血液型,プロ通算年,年俸,寸評
"辛島　航","東北楽天ゴールデンイーグルス","福岡","A","18","8,000万円（推定）","緩急を駆使した投球が持ち味のベテラン左腕。昨季はシーズン序盤に2試合で先発するも、計6イニングで7失点と振るわず。その後は二軍での登板が続き、再昇格は果たせなかった。今季はボールの質を高め、ローテーション争いに参戦する。"
"北浦　竜次","読売ジャイアンツ","栃木","AB","9","","テンポ良くアウトを積み重ねるサウスポー。日本ハムで育成選手としてプレーした昨季は、二軍で21試合に登板。後半戦は防御率1.17と結果を残した。新天地で支配下選手となって迎える今季は、一軍の舞台で首脳陣の期待に応えたい。"
"片山　楽生","オリックス・バファローズ","北海道","A","2","1,600万円（推定）","豊富な球種を駆使して打者を打ち取る右腕。1年目の昨季はロングリリーフをこなすなど、21試合に登板。防御率2.10と安定した投球を披露し、8月にはプロ初勝利を記録した。今季もあらゆる起用に応え、投手陣を支えたい。"
"大関　友久","福岡ソフトバンクホークス","茨城","A","7","17,000万円（推定）","昨季は防御率1.66と安定した投球を続け、キャリアハイの13勝をマーク。最高勝率のタイトルを獲得するなど飛躍の年となったが、ポストシーズンでは悔しさを味わった。今季も先発陣の柱を担い、自身の投球でチームを日本一へ導く。"
"岡村　了樹","千葉ロッテマリーンズ","宮崎","O","1","","走攻守3拍子そろった新人キャッチャー。高校3年夏の宮崎大会では、4試合で計12打数6安打をマーク。6盗塁を決めるなど、自慢の俊足もアピールした。今季は体力強化に励みつつ、まずは二軍で持ち味を発揮したい。"
"上川畑　大悟","北海道日本ハムファイターズ","岡山","A","5","3,900万円（推定）","堅実な守備が売りの内野手。昨季は開幕スタメンを勝ち取るも、打撃成績が低迷。後半戦は二軍生活が続き、出場は自己最少の35試合にとどまった。今季はバットでも信頼を集め、シーズンを通して一軍の戦力となりたい。"
"平沼　翔太","オリックス・バファローズ","福井","A","11","2,100万円（推定）","勝負強いバッティングが持ち味のユーティリティー。昨季は前年を上回る60試合に出場するも、開幕から打撃が振るわず。打率.218と物足りない数字でシーズンを終えた。今季は春先から快音を連発し、新天地で定位置獲得を目指す。"
"増田　陸","読売ジャイアンツ","大阪","A","8","2,600万円（推定）","思い切りの良いスイングが魅力の内野手。昨季は一軍で3年ぶりの安打を放つと、6月までに5本塁打をマーク。4番にも抜てきされるなど、シーズン前半に存在感を示した。今季は継続して結果を残し、一軍に定着したい。"
"西川　歩","読売ジャイアンツ","埼玉","AB","2","380万円（推定）","打者の手元で伸びるストレートが売りの育成左腕。高卒1年目の昨季は三軍で登板を重ね、安定した投球を披露。9月上旬には二軍で公式戦デビューを果たした。今季は変化球の精度を高め、実戦でさらなる結果を残したい。"
"冨士　隼斗","千葉ロッテマリーンズ","埼玉","O","1","","力のあるストレートを投げ込む新人右腕。昨季は日本通運に所属し、主に先発として活躍。ZOZOマリンで行われた都市対抗予選の代表決定戦では、1安打完封勝利を挙げた。1年目から存在感を示し、投手陣を助けたい。"
"林　優樹","東北楽天ゴールデンイーグルス","京都","O","4","750万円（推定）","切れ味鋭い変化球が武器の若手左腕。昨季は二軍で43試合に登板し、防御率3.69をマーク。シーズン終盤には一軍デビューを果たすなど、実りのあるシーズンとなった。今季は球威の向上に励み、登板機会を増やしたい。"
"日當　直喜","東北楽天ゴールデンイーグルス","東京","A","3","610万円（推定）","長身から投げ下ろすフォークが武器の若手右腕。高卒2年目の昨季は、二軍で前年を上回る42試合に登板。10月3日には一軍でプロ初勝利を挙げるなど、順調なステップアップを見せた。今季はさらなる成長を遂げ、飛躍の1年としたい。"
"栗原　陵矢","福岡ソフトバンクホークス","福井","A","12","14,000万円（推定）","強打が魅力の内野手。昨季は右脇腹痛での離脱があったものの、中軸として打線をけん引。特に9月は月間打率.373を残すなど、優勝争いの中で存在感を示した。新たに選手会長となって迎える今季は、シーズンを通した活躍を誓う。"
"岸本　佑也","東北楽天ゴールデンイーグルス","奈良","B","2","250万円（推定）","身体能力の高さを生かしたプレーを見せる育成内野手。昨季は春季キャンプで故障した影響もあり、二軍での出場は7試合にとどまった。2年目の今季も引き続きトレーニングに励みつつ、実戦経験を積み重ねたい。"
"窪田　洋祐","オリックス・バファローズ","北海道","AB","1","","高い身体能力を誇る新人外野手。札幌日大高では、2年夏の甲子園に4番・センターで出場。昨夏は投手としても奮闘し、チームの南北海道大会準優勝に貢献した。近い将来の主力となるべく、まずは二軍で実戦経験を重ねたい。"
"髙野　光海","千葉ロッテマリーンズ","兵庫","O","3","290万円（推定）","長打力が持ち味の育成外野手。2年目の昨季は二軍で19試合に出場するも、打率.195と結果を残せず。10月には秋季教育リーグに参加し、実戦経験を積み重ねた。今季は支配下契約を勝ち取るべく、春先からアピールを見せたい。"
"藤田　琉生","北海道日本ハムファイターズ","神奈川","A","2","770万円（推定）","198センチの長身を生かしたボールを投げ込む若手左腕。高卒1年目の昨季は二軍で13試合に登板。最速150キロを計測するなど、大器の片りんを見せた。今季は技術の向上に励み、一軍デビューを目指す。"
"武藤　敦貴","東北楽天ゴールデンイーグルス","福岡","A","7","1,250万円（推定）","スピードを生かしたプレーが持ち味の外野手。昨季は自己最多となる62試合に出場するも、打率.204、3盗塁と満足のいく結果を残せなかった。今季はバッティングで成長を遂げ、レギュラーの座をつかみたい。"
"松井　颯","読売ジャイアンツ","東京","A","4","630万円（推定）","得意のシンカーで打者を惑わす育成右腕。昨季は二軍で5先発を含む17試合に登板。防御率2.27と安定感を見せるも、支配下復帰は果たせなかった。今季はより一層の成長を遂げ、2ケタの背番号を取り戻したい。"
